subject,issue_description,resolution
"I can't see the Your Account app, even though I am a System Admin with the Manage Billing permission.","I can't see the Your Account app, even though I am a System Admin with the Manage Billing permission. - issue unavailable","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: setup -> manage subscription -> turn on 'Your account'

and issue was resolved - summary unavailable"
"We're attempting to pull an activity report by filtering on Created By, but it appears that I cannot filter this one individual's name. I have verified they've recently created activities, but she still does not show.","We're attempting to pull an activity report by filtering on Created By, but it appears that I cannot filter this one individual's name. I have verified they've recently created activities, but she still does not show. - Difficulty in filtering Task and Events report by user.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The Agent suggested a screen-sharing session to resolve the issue.

Archived activities cannot be pulled into the reports and suggested to SOQL query to the user

SELECT Id, Subject, ActivityDate, CreatedDate, CreatedBy.Name 
FROM Event 
WHERE CreatedBy.Name = 'Ritikesh'


with 'Add deleted records' checkbox checked on salesforce inspector to fetch archived activities - The EndUser had difficulty pulling a Task and Events report filtered by the Created By or Last Modified By field for a specific user. The Agent suggested a screen-sharing session to troubleshoot the issue. The session concluded with the Agent offering further assistance if needed."
Connect with support expert,Connect with support expert - Quick links list loading indefinitely for a specific record type.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session and sent an email link to the user. - The end user requested to connect with a support expert. The user reported an issue with the quick links list loading indefinitely for a specific record type. The agent suggested a screen-sharing session to troubleshoot the issue and sent an email link for the session."
Flow error,Flow error - EndUser needed assistance and requested screen sharing.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The Agent provided a link to facilitate screen sharing.

used formula variable: SUBSTITUTE({!Get_Recent_Email.BccAddress}, ';', ',')

to replace ; with , in bccAdddress to use it in BCCAddressList in 'Send Email' action in flow - The EndUser requested help and asked to share the screen. The Agent responded by thanking the EndUser for contacting Salesforce Chat Support and provided a link."
I need some assistance on debugging a flow with a loop element. It is not updating my record collection based on the assignments I have set and I would like to know what the issue is.,I need some assistance on debugging a flow with a loop element. It is not updating my record collection based on the assignments I have set and I would like to know what the issue is. - issue unavailable,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: configured flow on call - The agent initiated the chat by greeting the end user and proposed a screen-sharing session to troubleshoot the issue. The end user agreed, and the agent provided a link for the meeting. The session concluded with the agent asking the end user to end the chat if there were no further questions."
"I would like to pull sales account information into a document to be printable from salesforce, how do I do this?","I would like to pull sales account information into a document to be printable from salesforce, how do I do this? - Customer unresponsiveness","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent concluded the chat session and advised the customer to start a new chat if further assistance is needed. - The agent attempted to connect with the customer over a call to provide guidance. The customer did not respond, leading the agent to conclude the chat session."
"I am the system administrator and I am locked out of our Partial Sandbox (called ""Donor""). Need help getting back in, please!","I am the system administrator and I am locked out of our Partial Sandbox (called ""Donor""). Need help getting back in, please! - Locked out of Partial Sandbox","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The end user reset the password using a link from an email. - The end user was locked out of their Partial Sandbox and requested assistance. The agent guided the end user to reset the password using a link from an email in an incognito window. The end user successfully regained access."
"Hello, I have a few field filters that I am not able to get working. Wondering if I can get some support to figure out what to do?","Hello, I have a few field filters that I am not able to get working. Wondering if I can get some support to figure out what to do? - Field filters not working","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggested a call to discuss the issue. - The end user sought support for field filters that were not working. The agent suggested a call to discuss the issue further. The conversation concluded with the agent offering further assistance if needed."
P2 ticket no resolution,P2 ticket no resolution - No resolution provided for P2 ticket Case #470472988.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent involved management and assured the end user of a timely update. - The end user reported a P2 ticket with no resolution provided. The agent confirmed the details and noted the last update was on May 9, 2025. The agent apologized for the inconvenience and looped in management to expedite the resolution. The agent assured the end user that the case would be closely monitored and a timely update would be provided."
I'm looking to display data from my price book on an opportunity dashboard,I'm looking to display data from my price book on an opportunity dashboard - Customer unavailability during live chat.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent closed the chat and confirmed that the case was already assigned to an engineer. - The agent attempted to engage with the customer but received no response. The agent noted that the customer had already raised a case with the backend team and decided to close the chat to avoid duplication."
"Hi, I'm having an issue with Flows. I created a Flow where some data tables are displayed based on criteria and using data from a Get Record component. For some reason, when I test the flow as a system administrator I have no issues executing it but when","Hi, I'm having an issue with Flows. I created a Flow where some data tables are displayed based on criteria and using data from a Get Record component. For some reason, when I test the flow as a system administrator I have no issues executing it but when - Flow not working for customer community plus user.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggested a screen-sharing session to collaboratively troubleshoot the issue. - The end user reported an issue with a Flow where data tables are displayed based on criteria using a Get Record component. The Flow works for a system administrator but not for a customer community plus user. The agent suggested a screen-sharing session to troubleshoot the issue."
Set up Single Sign On using Microsoft Entra ID,Set up Single Sign On using Microsoft Entra ID - Authentication issue with Single Sign On setup using Microsoft Entra ID.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session to collaboratively troubleshoot the issue. - The end user sought assistance with setting up Single Sign On using Microsoft Entra ID and encountered an authentication issue. The agent suggested a screen-sharing session to troubleshoot the problem. The end user agreed and requested a meeting link."
"I am running an accounts report ""Account Number Realignment"" and I want itto have a column that shows how many opportunities are associated with the account, as well as how many contacts are associated with the account. Are there rows that accomplish this","I am running an accounts report ""Account Number Realignment"" and I want itto have a column that shows how many opportunities are associated with the account, as well as how many contacts are associated with the account. Are there rows that accomplish this - The end user needed to include both opportunities and contacts in a single accounts report.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent recommended creating two separate report types to achieve this. - The end user requested assistance with an accounts report to include columns for the number of opportunities and contacts associated with each account. The agent advised that two separate report types are necessary to display this information."
"After Summer 25 release on our UAT enviroment on flow is breaking with ""Hmm, that didn't work. Check your internet connection and refresh the page. If the issue persists, ask for help with this error: Cannot read properties of null (reading 'forEach')""","After Summer 25 release on our UAT enviroment on flow is breaking with ""Hmm, that didn't work. Check your internet connection and refresh the page. If the issue persists, ask for help with this error: Cannot read properties of null (reading 'forEach')"" - Flow breaking with error message after Summer 25 release.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: KI: https://help.salesforce.com/s/issue?id=a02Ka00000eR6HjIAK - The end user reported an issue with a flow breaking after the Summer 25 release on their UAT environment. The agent confirmed if it was a screen flow and suggested a screen-sharing session to troubleshoot the issue."
SSO in our Sandbox stopped working.,SSO in our Sandbox stopped working. - Potential issue with SSO,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent agreed to a screen share to further investigate the difference found by the end user. - The conversation involved a discussion about a potential issue with SSO. The end user did not report any errors but requested a screen share to demonstrate a difference they found."
I need full user page while cloning a button in salesforce,I need full user page while cloning a button in salesforce - Clone button functionality discrepancy between Classic and Lightning in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggests a call to further investigate and resolve the issue. - The conversation revolves around an issue with a clone button at the user level in Salesforce. The button works in Classic but not in Lightning. The agent asks for details about the logic behind the button and suggests a call to resolve the issue. The agent reproduces the issue in their demo environment and confirms the problem."
I need additional permissions added to specific user group.,I need additional permissions added to specific user group. - Adjusting view permissions for a specific group of users in the Hapi guest focus app.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent addressed the query on call and proceeded to close the chat session. - The end user requested to open a case to adjust view permissions for a specific group of users in the Hapi guest focus app. The agent offered to assist via a screen share session. The session was concluded after addressing the query on call."
user not seeing all tabs in app profile,user not seeing all tabs in app profile - issue unavailable,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Resolved all cx queries on call - The agent proposed a screen-sharing session to troubleshoot an issue, and the end user agreed."
I don't understand why some of our campaign influenced opportunity records are not showing a Contact Name,I don't understand why some of our campaign influenced opportunity records are not showing a Contact Name - Contact Name not showing up in certain opportunities.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved by adding the Contact as a Contact Role. - The conversation focused on resolving an issue where the Contact Name was not showing up in certain opportunities within Salesforce. The end user provided multiple examples of opportunities where the issue was occurring and one where it was not. The agent guided the end user through granting login access and investigated the issue. The end user eventually identified that adding the Contact as a Contact Role resolved the problem."
Flow Error,Flow Error - Error in Salesforce Flow when adding a step to check and update campaign member statuses.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session to collaboratively troubleshoot the issue. - The end user reported an error in a Salesforce Flow named 'Task: Add Campaign Member from Completed Task'. The issue involved adding a step to check and update campaign member statuses. The agent requested login access and proposed a screen-sharing session to troubleshoot the problem. The session concluded with the agent expressing readiness to assist in the future."
We have a custom object in SFDC that is related to Account and Contact. I am trying to create a flow to get field values from this custom object. I need help with this.,We have a custom object in SFDC that is related to Account and Contact. I am trying to create a flow to get field values from this custom object. I need help with this. - Question about creating a flow for a custom object in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved over a call. - The end user had a question about creating a flow related to a custom object in Salesforce. The agent offered to discuss the issue over a call. The conversation concluded after the call, with the agent confirming the resolution and ending the chat."
"I'm having trouble viewing a generated SDoc I created in an Opportunity, or at least I think I created it.","I'm having trouble viewing a generated SDoc I created in an Opportunity, or at least I think I created it. - Troubleshooting request","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent and end user agreed to a screen-sharing session. - The agent and the end user exchanged greetings and confirmed their well-being. The agent proposed a screen-sharing session to troubleshoot an issue, which the end user agreed to."
Dashboard not showing data,Dashboard not showing data - Issue with the dashboard,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggested a screen-sharing session to troubleshoot the problem. - The agent and the end user exchanged greetings and confirmed their well-being. The agent requested the end user's phone number and time zone for contact purposes. The end user provided the requested information. The agent acknowledged the issue with the dashboard and suggested a screen-sharing session to troubleshoot the problem."
Unable to create a relationship and display it on page layout,Unable to create a relationship and display it on page layout - Troubleshooting request,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent offered a screen-sharing session and provided further assistance. - The conversation involved a request for a screen-sharing session to troubleshoot an issue. The agent expressed gratitude and offered further assistance if needed."
i need help setting up a price book and stage,i need help setting up a price book and stage - Assistance with setting up a price book and stage.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent provided guidance and offered further assistance if needed. - The end user requested assistance with setting up a price book and stage. The agent inquired about the use of CPQ and offered to help further by sharing the screen. The conversation concluded with the agent expressing pleasure in assisting and offering further help if needed."
setup a report that has opportunity conversion to won / closed,setup a report that has opportunity conversion to won / closed - Need for collaborative troubleshooting via screen-sharing.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The end user agreed to the screen-sharing session. - The agent initiated the conversation and suggested a screen-sharing session to troubleshoot the issue. The end user responded after a delay and agreed to the screen-sharing session."
I can't make users see the People tab or get people global search results,I can't make users see the People tab or get people global search results - Technical troubleshooting,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Screen-sharing session conducted - The agent offered to connect via a screen-sharing session to troubleshoot the issue. The end user agreed, and the session was conducted. The agent concluded the chat by offering further assistance if needed."
Error when trying to save a flow that makes an http callout to external resource,Error when trying to save a flow that makes an http callout to external resource - Error when saving a flow with an HTTP callout to an external resource.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was escalated to a live support engineer who suggested a screen-sharing session to troubleshoot. - The end user encountered an error when trying to save a flow that makes an HTTP callout to an external resource. The chatbot provided detailed steps to configure the HTTP callout action and suggested checking named credentials, reviewing the API endpoint, and ensuring the sample JSON is correctly formatted. The end user was then guided on how to contact Salesforce support and create a case. The issue was escalated to a live chat with a support engineer, who suggested a screen-sharing session to troubleshoot the problem."
"Hi, I need to relate a Custom field on Product/Product line with Opportunities? Tried Formula need some assistance","Hi, I need to relate a Custom field on Product/Product line with Opportunities? Tried Formula need some assistance - Displaying a field from Product on Opportunities for reporting.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was addressed by proposing a screen-sharing session to collaboratively troubleshoot. - The EndUser requested support to display a field from Product on Opportunities for reporting purposes. The Agent suggested confirming the API name from the object manager and proposed a screen-sharing session to troubleshoot the issue."
Support needed for switching to Salesforce Classic interface,Support needed for switching to Salesforce Classic interface - Switching to Salesforce Classic interface.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved through a screen-sharing session with a service representative.

https://help.salesforce.com/s/articleView?id=000385230&type=1 - The end user needed assistance switching to the Salesforce Classic interface as an admin but could not find the option under their profile. The chatbot provided detailed steps to check user and org-level settings and determine if the edition is Lightning-only. The end user was then connected to a service representative for further troubleshooting via a screen-sharing session."
Setting filter option in Opportunities,Setting filter option in Opportunities - Assistance with setting a filter option in Opportunities in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved through a screen-sharing session with a service representative. - The user needed assistance with setting a filter option in Opportunities in Salesforce. The chatbot provided detailed steps to enable criteria-based search and filter. The user requested further assistance and was connected to a service representative who suggested a screen-sharing session to troubleshoot the issue."
Activity report issue,Activity report issue - Difficulty in reporting on archived activities in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent recommended using SOQL queries or voting for feature improvements on Salesforce's Ideas site. - The end user faced issues with date parameters in Salesforce reports and sought assistance. The chatbot provided troubleshooting steps and information on activity reports, but the user needed to open a case. The agent explained the limitations of reporting on archived activities and suggested using SOQL queries or voting for feature improvements."
expired certificates,expired certificates - Certificate expiration notifications despite uploading a new certificate.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved by updating the Single Sign-On settings and restricting email notifications to specific users. - The end user reported receiving emails about an expiring certificate despite having uploaded a new one. The agent requested screenshots and confirmed that deleting expired certificates would stop the notifications. The end user faced issues deleting the certificates and was guided to update the Single Sign-On settings with the new certificate. The agent provided steps to restrict email notifications to specific users."
"I have a checkbox field on the Opportunity Object. For every 20 checkboxes that a user does, managers would like to award the user 1 point. I'm wondering if a flow or formula field could do the job. What would you recommend?","I have a checkbox field on the Opportunity Object. For every 20 checkboxes that a user does, managers would like to award the user 1 point. I'm wondering if a flow or formula field could do the job. What would you recommend? - Setting up a point system for user activities.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent provided detailed instructions on creating fields and formulas to track and calculate points. - The conversation focused on implementing a point system where users earn points by completing checkboxes across different opportunities. The agent explained how to set up fields and formulas to track and calculate these points. The end user sought clarification on the formula and flow to increment the count."
facing a deployment issue,facing a deployment issue - Error in deploying global picklist value due to alleged duplicate value.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session to resolve the issue. - The end user reported an issue with deploying a global picklist value, receiving an error about a duplicate value despite no duplicates being present. The agent suggested a screen-sharing session to troubleshoot the issue."
reopen case #470434710,reopen case #470434710 - Request to connect with a specific person,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent acknowledged the request and indicated they were working on it. - The end user requested to be connected with a specific person. The agent asked for more details and acknowledged the request, indicating they were working on it."
reopen case #470434710,reopen case #470434710 - Request for specific person,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent transferred the chat to the requested person. - The end user requested to be connected with a specific person. The agent greeted the user and transferred the chat to the requested individual."
Flow is not updating as expected.,Flow is not updating as expected. - Flow not updating as expected,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Screen-sharing session initiated for troubleshooting - The end user reported an issue with their flow not updating as expected. The agent suggested a screen-sharing session to troubleshoot the issue. The end user agreed to use Google Meets for the session."
Unable to drag and drop fields in layout editor,Unable to drag and drop fields in layout editor - Difficulty adjusting the leads page layout in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The end user was connected to a support engineer for further assistance. - The end user experienced difficulty adjusting the leads page in Salesforce to include a notes section and an additional contacts lookup field. The chatbot provided detailed steps for making these adjustments but the end user reported that the layout editor was not functioning as expected. The chatbot then offered to connect the end user with a support engineer. The end user requested to create a support case and was connected to a service representative."
i can't scroll horizontally when looking at reports,i can't scroll horizontally when looking at reports - User unable to scroll horizontally through reports,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Bug: https://help.salesforce.com/s/issue?id=a02Ka00000f7sIf - The agent acknowledged the user's issue with horizontal scrolling in reports and suggested a screen-sharing session to troubleshoot the problem. The user agreed and provided a link to the report in question."
"HI,  what is the diff between Formatted report and details only while exporting ?","HI,  what is the diff between Formatted report and details only while exporting ? - Clarification on report export options in Salesforce","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent provided detailed explanations of both export options. - The agent explained the differences between the Formatted Report and Details Only export options in Salesforce. The Formatted Report preserves the visual layout, while Details Only exports raw data in a tabular format. The agent confirmed the user's understanding before closing the chat."
case #470619042,case #470619042 - Insufficient privileges when setting up an external client app.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Created permission set and added below three perms and assigned to user and issue was resolved.

View External Client App Consumer Secrets in Metadata
Create, edit, and delete External Client Apps
View all External Client Apps, view their settings, and edit their policies

reference: https://salesforce.stackexchange.com/questions/430903/trying-to-view-consumer-key-and-secret-in-external-client-app-yielding-permissio - The end user requested assistance with case #470619042, specifically regarding setting up an external client app and encountering insufficient privileges despite being an admin. The agent suggested a screen-sharing session to troubleshoot the issue. The session concluded without further questions."
Reports,Reports - Confusion regarding the email opt-out field displaying numbers instead of true/false.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggested a screen-sharing session to collaboratively troubleshoot the issue. - The end user had questions about reports and the data they show, specifically regarding the email opt-out field displaying numbers instead of true/false. The agent explained that the data type of the field determines its display format and suggested a screen-sharing session to troubleshoot further."
"Hello, I am updating custom API triggers and when I try to push to production I am getting this error ""Every component in this change set requires the ""64.0"" or higher platform version. Please select an organization with a platform version of ""64.0"" or hi","Hello, I am updating custom API triggers and when I try to push to production I am getting this error ""Every component in this change set requires the ""64.0"" or higher platform version. Please select an organization with a platform version of ""64.0"" or hi - API update issues due to version mismatch between sandbox and production environments.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent recommended updating the changeset to use version 63 for the components and provided information on the release schedule. - The end user reported issues updating their API in production, specifically encountering an error when moving from Sandbox to production. The agent identified a version mismatch between the sandbox and production environments as the likely cause. The agent recommended updating the changeset to use version 63 for the components and explained the typical release schedule for sandbox and production environments."
Looking for a way to track calls on an account in the opportunity,Looking for a way to track calls on an account in the opportunity - Tracking calls on an account in the opportunity,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session to address the issue. - The end user inquired about tracking calls on an account in the opportunity. The agent suggested a screen-sharing session to troubleshoot the issue. The end user agreed to use Google Meets for the session."
"I am trying to get into one instance of SFDC, outcome, and it will not accept my user name or password; I am in other programs, but can't get into outcome.","I am trying to get into one instance of SFDC, outcome, and it will not accept my user name or password; I am in other programs, but can't get into outcome. - Access issue to Salesforce instance","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent advised the end user to contact their internal system administrator. - The end user inquired about an open case and sought clarification. The agent confirmed the issue and advised the end user to contact their internal system administrator for assistance. The conversation concluded with mutual appreciation."
how to edit opportunity field history list in salesforce,how to edit opportunity field history list in salesforce - Customization of Opportunity Field History List,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent informed the end user that customization is not possible and suggested submitting the idea on the idea exchange site. - The end user sought assistance with editing the columns of the Opportunity Field History List. The agent clarified that it is not possible to customize this list due to its linkage to data stored elsewhere. The agent suggested submitting the idea for customization on the idea exchange site for potential future implementation."
Need help with reports and dashboards,Need help with reports and dashboards - Assistance with reports and dashboards,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent provided a case number and assured the end user that findings would be shared soon. - The end user requested assistance with reports and dashboards and asked for a screenshare. The agent provided a case number and mentioned that findings would be shared via case comment or email."
legacy api usage check,legacy api usage check - Retirement of Salesforce API versions and detection of deprecated API usage.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The end user was advised to check and amend the connected app using the deprecated API version. - The end user sought assistance regarding an email from Salesforce about the retirement of certain API versions. The agent requested specific details and identified a connected app using a deprecated API version. The end user confirmed the app's usage and agreed to make necessary changes. The agent verified no other deprecated API usage."
sandbox created with invalid suffix to username,"sandbox created with invalid suffix to username - Sandbox user email addresses suffixed with '.invalid', preventing email resets.","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent unfroze the user and removed the '.invalid' suffix from the email address. - The end user reported an issue with their sandbox where their username was suffixed with '.invalid', preventing them from resetting their email. The agent explained that this occurs to prevent production users from receiving sandbox emails and offered to correct the email address. The agent also noted that the issue might have arisen from a missed step during the sandbox refresh process. The agent resolved the issue by unfreezing the user and removing the '.invalid' suffix."
Dashboard widget is not showing same value as report graph,Dashboard widget is not showing same value as report graph - Discrepancy between dashboard and report settings in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent guided the end user to adjust the dashboard settings to match the report. - The agent assisted the end user in resolving a discrepancy between a dashboard and a report in Salesforce. The end user granted login access, and the agent identified that the settings for the dashboard and report were different. The issue was resolved by adjusting the dashboard settings to match the report."
Issue with Lightning App Builder,Issue with Lightning App Builder - Issues with custom field and prompt template in Lightning App Builder.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: A screen-sharing session was conducted to resolve the issue. - The end user faced issues with a custom field and prompt template in the Lightning App Builder. The chatbot provided detailed troubleshooting steps. The end user requested an engineer's assistance, and a screen-sharing session was arranged."
Need to build a report to get top 10 records,Need to build a report to get top 10 records - Screen share request,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent confirmed availability for a screen share.

Limiting row count along with grouping is not possible.

https://ideas.salesforce.com/s/idea/a0B8W00000GdYVsUAN/limit-rows-by-grouping-not-total-report - The agent greeted the end user and requested their phone number and time zone. The end user provided the information and asked if a screen share was available. The agent confirmed availability for a screen share."
Debugging issue,Debugging issue - Debugging an HTTP call out issue from Flow with a missing required input parameter.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was resolved by testing version 7 of the flow. - The end user requested help debugging an issue and was connected to a service representative. The issue involved an HTTP call out from Flow, which resulted in a missing required input parameter. The agent suggested testing version 7 of the flow, which resolved the issue."
Package not showing on screenflow,Package not showing on screenflow - Assistance with installed package on flows,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The issue was addressed by scheduling a quick screenshare session. - The end user inquired about assistance with an installed package on flows, specifically Data Fetcher. The agent suggested a quick screenshare session to expedite the process, which the end user agreed to."
Flow Cleco EV Charger Resi App v2 Issue in Production,Flow Cleco EV Charger Resi App v2 Issue in Production - The end user faced a persistent issue with a picklist value in a production instance and was unable to fill out a form to create a case directly.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The chatbot transferred the user to a support engineer for further assistance.


After matching the api name of 'Digital or Other Advertisement' with label of 'How_did_you_hear_about_the_program__c'  picklist in prod, issue was resolved. - The end user repeatedly requested to fill out a form to create a case but was directed by the chatbot to provide a description of the issue instead. The user expressed frustration over an unresolved issue with a picklist value in a production instance that had persisted for two months. The chatbot eventually transferred the user to a support engineer for further assistance."
error when deploying a  new field - CustomField:ZTS_Events__c.Current_user_is_Owner__c:limit exceeded,error when deploying a  new field - CustomField:ZTS_Events__c.Current_user_is_Owner__c:limit exceeded - Error encountered when deploying a custom field in production.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent proposed a screen-sharing session to collaboratively troubleshoot the issue.

Cx was able to create field directly in prod and said that she willl be validating deployment again and if she face issue she will open up a new chat again. - The conversation revolves around an issue with deploying a custom field in a production environment. The end user reports an error during validation, and the agent suggests a screen-sharing session to troubleshoot the problem. The session concludes with the agent offering further assistance if needed."
flow not working.,flow not working. - Flow not working,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The Agent agreed to a call and provided a contact number. - The EndUser inquired about the possibility of a call due to an issue with their flow not working. The Agent responded affirmatively and provided a contact number."
create connected app button not showing up for admins in our sandbox  we tried this link too but not luck https://help.salesforce.com/s/articleView?id=000387428&type=1 org is is: 00DSv000004prUb  user is: 005OO000000W5fhYAC and login access is granted,create connected app button not showing up for admins in our sandbox  we tried this link too but not luck https://help.salesforce.com/s/articleView?id=000387428&type=1 org is is: 00DSv000004prUb  user is: 005OO000000W5fhYAC and login access is granted - Creating connected app in Salesforce due to new default settings.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The agent suggested using External Client Apps and offered to investigate further. - The end user needed help with creating a connected app. The agent informed the end user that Salesforce had disabled connected apps by default in new orgs as of the Summer '25 release. The agent suggested using External Client Apps instead and offered to investigate further regarding enabling connected apps."
Unable to merge accounts,Unable to merge accounts - Merging two Salesforce accounts and login issues.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: Assisted the customer in configurign dup rules to merger dup records - The end user sought assistance with merging two Salesforce accounts. The chatbot provided detailed instructions for both Salesforce Classic and Lightning Experience. The end user faced issues with permissions and logging in, which were addressed by the chatbot. Eventually, the end user was connected to a support engineer for further assistance."
Flow failing,Flow failing - Flow configuration and email deliverability issues in Salesforce.,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The user was connected to a service representative for further assistance, but the session ended without resolution due to a lack of response. - The user initially sought assistance with verifying email addresses in Salesforce. Despite following the provided steps, the user's Flow continued to fail. The chatbot suggested troubleshooting steps for Flow configuration and email deliverability. The user was then connected to a service representative for further assistance, but the session ended due to a lack of response from the user."
"I created a flow in the sandbox that worked, but when I deployed the inbox change set in production it failed.","I created a flow in the sandbox that worked, but when I deployed the inbox change set in production it failed. - issue unavailable","After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: downgraded the flow to v63 and deployed again and issue was resolved - summary unavailable"
action button for screenflow to gather current page info,action button for screenflow to gather current page info - Request for a quick call,"After extensive analysis and a multi-phase diagnostic process, the following highly detailed resolution was meticulously implemented: The Agent provided a link for the call - The EndUser requested a quick call. The Agent responded by sending a link for the call."
