"Subject","issue_description","Case Summary","Issue Summary","resolution","Account Name","Case Number"
"After Summer 25 release on our UAT enviroment on flow is breaking with ""Hmm, that didn't work. Check your internet connection and refresh the page. If the issue persists, ask for help with this error: Cannot read properties of null (reading 'forEach')""","After Summer 25 release on our UAT enviroment on flow is breaking with ""Hmm, that didn't work. Check your internet connection and refresh the page. If the issue persists, ask for help with this error: Cannot read properties of null (reading 'forEach')""","The end user reported an issue with a flow breaking after the Summer 25 release on their UAT environment. The agent confirmed if it was a screen flow and suggested a screen-sharing session to troubleshoot the issue.","Flow breaking with error message after Summer 25 release.","KI: https://help.salesforce.com/s/issue?id=a02Ka00000eR6HjIAK","Meredith Operations Corporation (Digital - Print)","470487674"
"SSO in our Sandbox stopped working.","SSO in our Sandbox stopped working.","The conversation involved a discussion about a potential issue with SSO. The end user did not report any errors but requested a screen share to demonstrate a difference they found.","Potential issue with SSO","The agent agreed to a screen share to further investigate the difference found by the end user.","Wajax Limited","470487813"
"I need full user page while cloning a button in salesforce","I need full user page while cloning a button in salesforce","The conversation revolves around an issue with a clone button at the user level in Salesforce. The button works in Classic but not in Lightning. The agent asks for details about the logic behind the button and suggests a call to resolve the issue. The agent reproduces the issue in their demo environment and confirms the problem.","Clone button functionality discrepancy between Classic and Lightning in Salesforce.","The agent suggests a call to further investigate and resolve the issue.","Verisk Insurance Services","470496826"
"I need additional permissions added to specific user group.","I need additional permissions added to specific user group.","The end user requested to open a case to adjust view permissions for a specific group of users in the Hapi guest focus app. The agent offered to assist via a screen share session. The session was concluded after addressing the query on call.","Adjusting view permissions for a specific group of users in the Hapi guest focus app.","The agent addressed the query on call and proceeded to close the chat session.","Trump International Hotel & Tower","470500078"
"user not seeing all tabs in app profile","user not seeing all tabs in app profile","The agent proposed a screen-sharing session to troubleshoot an issue, and the end user agreed.","issue unavailable","Resolved all cx queries on call","Health & Welfare Council of Long Island","470508558"
"I don't understand why some of our campaign influenced opportunity records are not showing a Contact Name","I don't understand why some of our campaign influenced opportunity records are not showing a Contact Name","The conversation focused on resolving an issue where the Contact Name was not showing up in certain opportunities within Salesforce. The end user provided multiple examples of opportunities where the issue was occurring and one where it was not. The agent guided the end user through granting login access and investigated the issue. The end user eventually identified that adding the Contact as a Contact Role resolved the problem.","Contact Name not showing up in certain opportunities.","The issue was resolved by adding the Contact as a Contact Role.","ClearGov, Inc.","470511192"
"Flow Error","Flow Error","The end user reported an error in a Salesforce Flow named 'Task: Add Campaign Member from Completed Task'. The issue involved adding a step to check and update campaign member statuses. The agent requested login access and proposed a screen-sharing session to troubleshoot the problem. The session concluded with the agent expressing readiness to assist in the future.","Error in Salesforce Flow when adding a step to check and update campaign member statuses.","The agent proposed a screen-sharing session to collaboratively troubleshoot the issue.","INSIGHT2PROFIT","470511692"
"We have a custom object in SFDC that is related to Account and Contact. I am trying to create a flow to get field values from this custom object. I need help with this.","We have a custom object in SFDC that is related to Account and Contact. I am trying to create a flow to get field values from this custom object. I need help with this.","The end user had a question about creating a flow related to a custom object in Salesforce. The agent offered to discuss the issue over a call. The conversation concluded after the call, with the agent confirming the resolution and ending the chat.","Question about creating a flow for a custom object in Salesforce.","The issue was resolved over a call.","GoAnimate, Inc","470511770"
"I'm having trouble viewing a generated SDoc I created in an Opportunity, or at least I think I created it.","I'm having trouble viewing a generated SDoc I created in an Opportunity, or at least I think I created it.","The agent and the end user exchanged greetings and confirmed their well-being. The agent proposed a screen-sharing session to troubleshoot an issue, which the end user agreed to.","Troubleshooting request","The agent and end user agreed to a screen-sharing session.","Ashland Parks Foundation","470512263"
"Dashboard not showing data","Dashboard not showing data","The agent and the end user exchanged greetings and confirmed their well-being. The agent requested the end user's phone number and time zone for contact purposes. The end user provided the requested information. The agent acknowledged the issue with the dashboard and suggested a screen-sharing session to troubleshoot the problem.","Issue with the dashboard","The agent suggested a screen-sharing session to troubleshoot the problem.","Home Instead, Inc.","470512322"
"Unable to create a relationship and display it on page layout","Unable to create a relationship and display it on page layout","The conversation involved a request for a screen-sharing session to troubleshoot an issue. The agent expressed gratitude and offered further assistance if needed.","Troubleshooting request","The agent offered a screen-sharing session and provided further assistance.","QHR Technologies Inc.*","470521751"
"i need help setting up a price book and stage","i need help setting up a price book and stage","The end user requested assistance with setting up a price book and stage. The agent inquired about the use of CPQ and offered to help further by sharing the screen. The conversation concluded with the agent expressing pleasure in assisting and offering further help if needed.","Assistance with setting up a price book and stage.","The agent provided guidance and offered further assistance if needed.","AZEK Building Products","470542805"
"setup a report that has opportunity conversion to won / closed","setup a report that has opportunity conversion to won / closed","The agent initiated the conversation and suggested a screen-sharing session to troubleshoot the issue. The end user responded after a delay and agreed to the screen-sharing session.","Need for collaborative troubleshooting via screen-sharing.","The end user agreed to the screen-sharing session.","MODLOGIQ, Inc.","470543396"
"I can't make users see the People tab or get people global search results","I can't make users see the People tab or get people global search results","The agent offered to connect via a screen-sharing session to troubleshoot the issue. The end user agreed, and the session was conducted. The agent concluded the chat by offering further assistance if needed.","Technical troubleshooting","Screen-sharing session conducted","Agio, Inc. (New Org)","470544853"
"Error when trying to save a flow that makes an http callout to external resource","Error when trying to save a flow that makes an http callout to external resource","The end user encountered an error when trying to save a flow that makes an HTTP callout to an external resource. The chatbot provided detailed steps to configure the HTTP callout action and suggested checking named credentials, reviewing the API endpoint, and ensuring the sample JSON is correctly formatted. The end user was then guided on how to contact Salesforce support and create a case. The issue was escalated to a live chat with a support engineer, who suggested a screen-sharing session to troubleshoot the problem.","Error when saving a flow with an HTTP callout to an external resource.","The issue was escalated to a live support engineer who suggested a screen-sharing session to troubleshoot.","Allbridge LLC.","470545369"
"Hi, I need to relate a Custom field on Product/Product line with Opportunities? Tried Formula need some assistance","Hi, I need to relate a Custom field on Product/Product line with Opportunities? Tried Formula need some assistance","The EndUser requested support to display a field from Product on Opportunities for reporting purposes. The Agent suggested confirming the API name from the object manager and proposed a screen-sharing session to troubleshoot the issue.","Displaying a field from Product on Opportunities for reporting.","The issue was addressed by proposing a screen-sharing session to collaboratively troubleshoot.","Meridian Bioscience, Inc. (Life Science) #AITestDriverQ1","470556585"
"Support needed for switching to Salesforce Classic interface","Support needed for switching to Salesforce Classic interface","The end user needed assistance switching to the Salesforce Classic interface as an admin but could not find the option under their profile. The chatbot provided detailed steps to check user and org-level settings and determine if the edition is Lightning-only. The end user was then connected to a service representative for further troubleshooting via a screen-sharing session.","Switching to Salesforce Classic interface.","The issue was resolved through a screen-sharing session with a service representative.

https://help.salesforce.com/s/articleView?id=000385230&type=1","Remarcable","470556996"
"Setting filter option in Opportunities","Setting filter option in Opportunities","The user needed assistance with setting a filter option in Opportunities in Salesforce. The chatbot provided detailed steps to enable criteria-based search and filter. The user requested further assistance and was connected to a service representative who suggested a screen-sharing session to troubleshoot the issue.","Assistance with setting a filter option in Opportunities in Salesforce.","The issue was resolved through a screen-sharing session with a service representative.","Falanga & Co","470557408"
"Activity report issue","Activity report issue","The end user faced issues with date parameters in Salesforce reports and sought assistance. The chatbot provided troubleshooting steps and information on activity reports, but the user needed to open a case. The agent explained the limitations of reporting on archived activities and suggested using SOQL queries or voting for feature improvements.","Difficulty in reporting on archived activities in Salesforce.","The agent recommended using SOQL queries or voting for feature improvements on Salesforce's Ideas site.","Uptempo","470557436"
"expired certificates","expired certificates","The end user reported receiving emails about an expiring certificate despite having uploaded a new one. The agent requested screenshots and confirmed that deleting expired certificates would stop the notifications. The end user faced issues deleting the certificates and was guided to update the Single Sign-On settings with the new certificate. The agent provided steps to restrict email notifications to specific users.","Certificate expiration notifications despite uploading a new certificate.","The issue was resolved by updating the Single Sign-On settings and restricting email notifications to specific users.","Argon Medical Devices, Inc.","470567820"
"I have a checkbox field on the Opportunity Object. For every 20 checkboxes that a user does, managers would like to award the user 1 point. I'm wondering if a flow or formula field could do the job. What would you recommend?","I have a checkbox field on the Opportunity Object. For every 20 checkboxes that a user does, managers would like to award the user 1 point. I'm wondering if a flow or formula field could do the job. What would you recommend?","The conversation focused on implementing a point system where users earn points by completing checkboxes across different opportunities. The agent explained how to set up fields and formulas to track and calculate these points. The end user sought clarification on the formula and flow to increment the count.","Setting up a point system for user activities.","The agent provided detailed instructions on creating fields and formulas to track and calculate points.","Canucks Sports & Entertainment","470588327"
"facing a deployment issue","facing a deployment issue","The end user reported an issue with deploying a global picklist value, receiving an error about a duplicate value despite no duplicates being present. The agent suggested a screen-sharing session to troubleshoot the issue.","Error in deploying global picklist value due to alleged duplicate value.","The agent proposed a screen-sharing session to resolve the issue.","Carrier Corporation - HVAC - Commercial HVAC (A)","470607196"
"reopen case #470434710","reopen case #470434710","The end user requested to be connected with a specific person. The agent asked for more details and acknowledged the request, indicating they were working on it.","Request to connect with a specific person","The agent acknowledged the request and indicated they were working on it.","IntelliTrans LLC","470608133"
"reopen case #470434710","reopen case #470434710","The end user requested to be connected with a specific person. The agent greeted the user and transferred the chat to the requested individual.","Request for specific person","The agent transferred the chat to the requested person.","IntelliTrans LLC","470608212"
"Flow is not updating as expected.","Flow is not updating as expected.","The end user reported an issue with their flow not updating as expected. The agent suggested a screen-sharing session to troubleshoot the issue. The end user agreed to use Google Meets for the session.","Flow not updating as expected","Screen-sharing session initiated for troubleshooting","Amazon Associates North America (Consumer 2)","470608504"
"Unable to drag and drop fields in layout editor","Unable to drag and drop fields in layout editor","The end user experienced difficulty adjusting the leads page in Salesforce to include a notes section and an additional contacts lookup field. The chatbot provided detailed steps for making these adjustments but the end user reported that the layout editor was not functioning as expected. The chatbot then offered to connect the end user with a support engineer. The end user requested to create a support case and was connected to a service representative.","Difficulty adjusting the leads page layout in Salesforce.","The end user was connected to a support engineer for further assistance.","LI 9","470608655"
"i can't scroll horizontally when looking at reports","i can't scroll horizontally when looking at reports","The agent acknowledged the user's issue with horizontal scrolling in reports and suggested a screen-sharing session to troubleshoot the problem. The user agreed and provided a link to the report in question.","User unable to scroll horizontally through reports","Bug: https://help.salesforce.com/s/issue?id=a02Ka00000f7sIf","McKinstry Co., LLC","470618041"
"HI,  what is the diff between Formatted report and details only while exporting ?","HI,  what is the diff between Formatted report and details only while exporting ?","The agent explained the differences between the Formatted Report and Details Only export options in Salesforce. The Formatted Report preserves the visual layout, while Details Only exports raw data in a tabular format. The agent confirmed the user's understanding before closing the chat.","Clarification on report export options in Salesforce","The agent provided detailed explanations of both export options.","Fairview Health - Pharmacy ClearScript","470618416"
"case #470619042","case #470619042","The end user requested assistance with case #470619042, specifically regarding setting up an external client app and encountering insufficient privileges despite being an admin. The agent suggested a screen-sharing session to troubleshoot the issue. The session concluded without further questions.","Insufficient privileges when setting up an external client app.","Created permission set and added below three perms and assigned to user and issue was resolved.

View External Client App Consumer Secrets in Metadata
Create, edit, and delete External Client Apps
View all External Client Apps, view their settings, and edit their policies

reference: https://salesforce.stackexchange.com/questions/430903/trying-to-view-consumer-key-and-secret-in-external-client-app-yielding-permissio","TELUS Communications Inc.","470619051"
"Reports","Reports","The end user had questions about reports and the data they show, specifically regarding the email opt-out field displaying numbers instead of true/false. The agent explained that the data type of the field determines its display format and suggested a screen-sharing session to troubleshoot further.","Confusion regarding the email opt-out field displaying numbers instead of true/false.","The agent suggested a screen-sharing session to collaboratively troubleshoot the issue.","INETUM","470625532"
"Hello, I am updating custom API triggers and when I try to push to production I am getting this error ""Every component in this change set requires the ""64.0"" or higher platform version. Please select an organization with a platform version of ""64.0"" or hi","Hello, I am updating custom API triggers and when I try to push to production I am getting this error ""Every component in this change set requires the ""64.0"" or higher platform version. Please select an organization with a platform version of ""64.0"" or hi","The end user reported issues updating their API in production, specifically encountering an error when moving from Sandbox to production. The agent identified a version mismatch between the sandbox and production environments as the likely cause. The agent recommended updating the changeset to use version 63 for the components and explained the typical release schedule for sandbox and production environments.","API update issues due to version mismatch between sandbox and production environments.","The agent recommended updating the changeset to use version 63 for the components and provided information on the release schedule.","American Water Works Service Company, Inc.*","470627806"
"Looking for a way to track calls on an account in the opportunity","Looking for a way to track calls on an account in the opportunity","The end user inquired about tracking calls on an account in the opportunity. The agent suggested a screen-sharing session to troubleshoot the issue. The end user agreed to use Google Meets for the session.","Tracking calls on an account in the opportunity","The agent proposed a screen-sharing session to address the issue.","Amazon Associates North America (Consumer 2)","470628125"
"I am trying to get into one instance of SFDC, outcome, and it will not accept my user name or password; I am in other programs, but can't get into outcome.","I am trying to get into one instance of SFDC, outcome, and it will not accept my user name or password; I am in other programs, but can't get into outcome.","The end user inquired about an open case and sought clarification. The agent confirmed the issue and advised the end user to contact their internal system administrator for assistance. The conversation concluded with mutual appreciation.","Access issue to Salesforce instance","The agent advised the end user to contact their internal system administrator.","TELUS Communications Inc.","470628483"
"how to edit opportunity field history list in salesforce","how to edit opportunity field history list in salesforce","The end user sought assistance with editing the columns of the Opportunity Field History List. The agent clarified that it is not possible to customize this list due to its linkage to data stored elsewhere. The agent suggested submitting the idea for customization on the idea exchange site for potential future implementation.","Customization of Opportunity Field History List","The agent informed the end user that customization is not possible and suggested submitting the idea on the idea exchange site.","dRofus","470636072"
"Need help with reports and dashboards","Need help with reports and dashboards","The end user requested assistance with reports and dashboards and asked for a screenshare. The agent provided a case number and mentioned that findings would be shared via case comment or email.","Assistance with reports and dashboards","The agent provided a case number and assured the end user that findings would be shared soon.","Ammex Corporation","470646978"
"legacy api usage check","legacy api usage check","The end user sought assistance regarding an email from Salesforce about the retirement of certain API versions. The agent requested specific details and identified a connected app using a deprecated API version. The end user confirmed the app's usage and agreed to make necessary changes. The agent verified no other deprecated API usage.","Retirement of Salesforce API versions and detection of deprecated API usage.","The end user was advised to check and amend the connected app using the deprecated API version.","ENGIE ITALIA S.P.A.","470657053"
"sandbox created with invalid suffix to username","sandbox created with invalid suffix to username","The end user reported an issue with their sandbox where their username was suffixed with '.invalid', preventing them from resetting their email. The agent explained that this occurs to prevent production users from receiving sandbox emails and offered to correct the email address. The agent also noted that the issue might have arisen from a missed step during the sandbox refresh process. The agent resolved the issue by unfreezing the user and removing the '.invalid' suffix.","Sandbox user email addresses suffixed with '.invalid', preventing email resets.","The agent unfroze the user and removed the '.invalid' suffix from the email address.","Aqueduct Technologies","470670116"
"Dashboard widget is not showing same value as report graph","Dashboard widget is not showing same value as report graph","The agent assisted the end user in resolving a discrepancy between a dashboard and a report in Salesforce. The end user granted login access, and the agent identified that the settings for the dashboard and report were different. The issue was resolved by adjusting the dashboard settings to match the report.","Discrepancy between dashboard and report settings in Salesforce.","The agent guided the end user to adjust the dashboard settings to match the report.","dRofus","470670536"
"Issue with Lightning App Builder","Issue with Lightning App Builder","The end user faced issues with a custom field and prompt template in the Lightning App Builder. The chatbot provided detailed troubleshooting steps. The end user requested an engineer's assistance, and a screen-sharing session was arranged.","Issues with custom field and prompt template in Lightning App Builder.","A screen-sharing session was conducted to resolve the issue.","Company Sage","470670646"
"Need to build a report to get top 10 records","Need to build a report to get top 10 records","The agent greeted the end user and requested their phone number and time zone. The end user provided the information and asked if a screen share was available. The agent confirmed availability for a screen share.","Screen share request","The agent confirmed availability for a screen share.

Limiting row count along with grouping is not possible.

https://ideas.salesforce.com/s/idea/a0B8W00000GdYVsUAN/limit-rows-by-grouping-not-total-report","The United States Pharmacopeial Convention Inc., HQ","470686662"
"Debugging issue","Debugging issue","The end user requested help debugging an issue and was connected to a service representative. The issue involved an HTTP call out from Flow, which resulted in a missing required input parameter. The agent suggested testing version 7 of the flow, which resolved the issue.","Debugging an HTTP call out issue from Flow with a missing required input parameter.","The issue was resolved by testing version 7 of the flow.","Aqueduct Technologies","470687451"
"Package not showing on screenflow","Package not showing on screenflow","The end user inquired about assistance with an installed package on flows, specifically Data Fetcher. The agent suggested a quick screenshare session to expedite the process, which the end user agreed to.","Assistance with installed package on flows","The issue was addressed by scheduling a quick screenshare session.","Ziff Davis Parent (Ziff Davis, Inc.)","470710440"
"Flow Cleco EV Charger Resi App v2 Issue in Production","Flow Cleco EV Charger Resi App v2 Issue in Production","The end user repeatedly requested to fill out a form to create a case but was directed by the chatbot to provide a description of the issue instead. The user expressed frustration over an unresolved issue with a picklist value in a production instance that had persisted for two months. The chatbot eventually transferred the user to a support engineer for further assistance.","The end user faced a persistent issue with a picklist value in a production instance and was unable to fill out a form to create a case directly.","The chatbot transferred the user to a support engineer for further assistance.


After matching the api name of 'Digital or Other Advertisement' with label of 'How_did_you_hear_about_the_program__c'  picklist in prod, issue was resolved.","CLECO","470711189"
"error when deploying a  new field - CustomField:ZTS_Events__c.Current_user_is_Owner__c:limit exceeded","error when deploying a  new field - CustomField:ZTS_Events__c.Current_user_is_Owner__c:limit exceeded","The conversation revolves around an issue with deploying a custom field in a production environment. The end user reports an error during validation, and the agent suggests a screen-sharing session to troubleshoot the problem. The session concludes with the agent offering further assistance if needed.","Error encountered when deploying a custom field in production.","The agent proposed a screen-sharing session to collaboratively troubleshoot the issue.

Cx was able to create field directly in prod and said that she willl be validating deployment again and if she face issue she will open up a new chat again.","Zoetis [Touchpoint]","470721988"
"flow not working.","flow not working.","The EndUser inquired about the possibility of a call due to an issue with their flow not working. The Agent responded affirmatively and provided a contact number.","Flow not working","The Agent agreed to a call and provided a contact number.","ICG Medical","470725897"
"create connected app button not showing up for admins in our sandbox  we tried this link too but not luck https://help.salesforce.com/s/articleView?id=000387428&type=1 org is is: 00DSv000004prUb  user is: 005OO000000W5fhYAC and login access is granted","create connected app button not showing up for admins in our sandbox  we tried this link too but not luck https://help.salesforce.com/s/articleView?id=000387428&type=1 org is is: 00DSv000004prUb  user is: 005OO000000W5fhYAC and login access is granted","The end user needed help with creating a connected app. The agent informed the end user that Salesforce had disabled connected apps by default in new orgs as of the Summer '25 release. The agent suggested using External Client Apps instead and offered to investigate further regarding enabling connected apps.","Creating connected app in Salesforce due to new default settings.","The agent suggested using External Client Apps and offered to investigate further.","Cohere","470726528"
"Unable to merge accounts","Unable to merge accounts","The end user sought assistance with merging two Salesforce accounts. The chatbot provided detailed instructions for both Salesforce Classic and Lightning Experience. The end user faced issues with permissions and logging in, which were addressed by the chatbot. Eventually, the end user was connected to a support engineer for further assistance.","Merging two Salesforce accounts and login issues.","Assisted the customer in configurign dup rules to merger dup records","National Hispanic Bar Association","470734147"
"Flow failing","Flow failing","The user initially sought assistance with verifying email addresses in Salesforce. Despite following the provided steps, the user's Flow continued to fail. The chatbot suggested troubleshooting steps for Flow configuration and email deliverability. The user was then connected to a service representative for further assistance, but the session ended due to a lack of response from the user.","Flow configuration and email deliverability issues in Salesforce.","The user was connected to a service representative for further assistance, but the session ended without resolution due to a lack of response.","Savage Enterprises","470736580"
"I created a flow in the sandbox that worked, but when I deployed the inbox change set in production it failed.","I created a flow in the sandbox that worked, but when I deployed the inbox change set in production it failed.","summary unavailable","issue unavailable","downgraded the flow to v63 and deployed again and issue was resolved","Texas Child Mental Health Care Consortium (TCMHCC)","470736821"
"action button for screenflow to gather current page info","action button for screenflow to gather current page info","The EndUser requested a quick call. The Agent responded by sending a link for the call.","Request for a quick call","The Agent provided a link for the call","Proofpoint, Inc. (MAIN)","470736929"
"Mass upload for parent child account","Mass upload for parent child account","The conversation involved a greeting exchange and a request to share the screen.","Request to share the screen","The agent agreed to share the screen.","Sentrics","470737188"
"Single sign-on -- ""Login with Salesforce credentials"" not showing up on the sign in page.","Single sign-on -- ""Login with Salesforce credentials"" not showing up on the sign in page.","The conversation involves the agent requesting contact information and time zone from the end user. The end user provides the requested details. The agent acknowledges the issue with SSO and suggests a screen-sharing session to troubleshoot the problem.","SSO issue","The agent proposed a screen-sharing session to troubleshoot the problem.","Home Instead, Inc.","470737347"
"Workflow to Flow Conversion","Workflow to Flow Conversion","The end user converted a workflow to a flow but encountered issues with its functionality. The chatbot provided steps for transitioning from workflows to flows in Salesforce and offered to connect the user with a service representative. The user was connected to an agent and mentioned their name as Vishu. The agent offered assistance and closed the chat session with a positive note.","Issues with converting workflow to flow in Salesforce.","The user was connected to a service representative for further assistance.","Center for Justice Innovation - Development / Fiscal Database","470743706"
"update API versions, still have some under 45","update API versions, still have some under 45","The end user expressed concerns about updating API versions for a summer release. The agent suggested a screen-sharing session to troubleshoot the issue collaboratively. The session concluded with the agent offering further assistance if needed.","Trouble with updating API versions for a summer release.","The agent proposed a screen-sharing session to resolve the issue.","SpotHero","470744609"
"Speak to engineer","Speak to engineer","The end user requested to speak to an engineer and inquired about the status of a specific case. The agent provided an update from the support engineer's email and the end user confirmed the resolution, requesting the case to be closed.","Status update on Case #470735543","The agent provided the necessary update and the end user confirmed the resolution.

closing this case as dup of 470735543","Blue Sky Innovative Solutions, LLC","470745109"
"I NEED REPORTS FOR THE FOLLOWING    1.	Sortable activity by rep 2.	All open opportunities with a probability of 75% or more","I NEED REPORTS FOR THE FOLLOWING    1.	Sortable activity by rep 2.	All open opportunities with a probability of 75% or more","The end user requested reports that could be exported into Excel, specifically sortable activity by representative and open opportunities with a probability of 75% or more. The agent provided instructions on how to export the data into Excel and offered further assistance, including a call. The chat ended due to a lack of response from the end user.","The end user needed guidance on exporting reports into Excel.","The agent provided instructions on how to export the data and offered additional support.

Provided solution to the cx and she went unresponsive","Amston Trailer Sales","470745695"
"Hi, I am facing challenges in inputting validation error in screenflow","Hi, I am facing challenges in inputting validation error in screenflow","The conversation involves the EndUser seeking assistance with a screen flow validation issue. The Agent suggests a screen-sharing session to troubleshoot the problem. The EndUser agrees to the screen-sharing session.","screen flow validation issue","The Agent proposed a screen-sharing session to collaboratively troubleshoot the issue.","Crescent Electric Supply Company","470746081"
"the related list stopped working after the release today","the related list stopped working after the release today","The end user reported an issue with a related list on the account that stopped working after a recent release. The agent requested login access to investigate and identified that the problem was due to missing field-level security for a specific field. Once the appropriate access was granted, the related list became visible.","Related list not visible after system update.","Field-level security was updated to grant the necessary access.","Starkey Laboratories, Inc.","470746250"
"Content Libraries being buggy.","Content Libraries being buggy.","The conversation revolves around an issue with Salesforce libraries where files and folders intermittently fail to load. The end user confirmed that they are a library administrator and that the problem started recently. The agent requested a screen share session to diagnose the issue.","Intermittent loading issues with Salesforce libraries.","The agent requested a screen share session to further investigate the problem.","Culligan NA Chat","470760925"
"When we send request to MuleSoft NAF end point. the external system receiving pay load information","When we send request to MuleSoft NAF end point. the external system receiving pay load information","The conversation involved a greeting exchange and a request for a sharing session to explain an issue. The agent confirmed the conclusion of the chat session and provided instructions for future contact.","Request for a sharing session to explain an issue.","The agent confirmed the conclusion of the chat session and provided instructions for future contact.","University of Maryland Global Campus","470772214"
"Unable to open Salesforce link","Unable to open Salesforce link","The end user requested to speak with a representative about an issue with opening a Salesforce link. The agent provided steps to resolve the issue, which involved editing 'My Domain Settings' in Salesforce. The end user confirmed that the solution worked after testing.","Users were unable to open the regular Salesforce login link.","The issue was resolved by editing 'My Domain Settings' and enabling specific redirection settings.","ITT Interconnect Solutions","470774201"
"data export errors","data export errors","The end user reported an unresolved case and ongoing data export errors. The chatbot provided initial guidance and connected the user to a service representative. The agent suggested a screen-sharing session to troubleshoot the issues. The session concluded with the agent expressing readiness to assist in the future.","Unresolved case and data export errors.","The agent proposed a screen-sharing session to address the issues.","Integrated Sciences Pty Ltd","470774644"
"Hi support,   Why doesn't our instance allow us to enable inline editing within Datatables used in a screen flow?  Thanks, Colby","Hi support,   Why doesn't our instance allow us to enable inline editing within Datatables used in a screen flow?  Thanks, Colby","The end user inquired about enabling inline editing within Datatables used in a screen flow. The agent suggested a screen-sharing session to troubleshoot the issue. The session concluded with the agent offering further assistance if needed.","Enabling inline editing within Datatables in a screen flow.","data table component in screen flow doesn't allow inline editing

https://help.salesforce.com/s/articleView?id=platform.flow_ref_elements_screencmp_data_table.htm&type=5","Lively","470774807"
"Connect to helpdesk","Connect to helpdesk","The end user requested to connect to the helpdesk and was provided with details about their tenant. The agent then connected with the end user and addressed a dashboard issue by sharing a meeting link. The session concluded with the agent offering further assistance if needed.","Dashboard issue","The agent shared a meeting link to address the issue.Answered dashboard related queries on call","Bombardier Inc.","470782238"
"Billing Issue","Billing Issue","The end user expressed concerns about being overcharged for their Sales Force subscription, which was supposed to be $500 per month but was billed at over $1000. The agent advised the end user to contact their account executive, Ms. Kaur, for billing-related queries and provided her contact details. The agent also reached out to Ms. Kaur internally to expedite the resolution.","Billing overcharge for Sales Force subscription.","The end user was advised to contact their account executive, and the agent also reached out to the account executive internally.","Apex Claims LLC","470783907"
"TValue Quote query cannot be executed in Dev console or anonymous code","TValue Quote query cannot be executed in Dev console or anonymous code","The conversation involved a request for a screen share session to obtain expert opinion. The agent agreed and provided assistance.","Request for expert opinion via screen share session.","The agent agreed to the screen share session and provided the necessary assistance.","Club Car, LLC","470784353"
"I want to create a custom reports joining 3 Custom Objects: Orders, Actual Revenue and Backlog so I can pull the data.  It won't allow me as there is no relationship. Can you help?","I want to create a custom reports joining 3 Custom Objects: Orders, Actual Revenue and Backlog so I can pull the data.  It won't allow me as there is no relationship. Can you help?","The end user wanted to create custom reports by joining three custom objects: Orders, Actual Revenue, and Backlog, but faced issues due to the lack of relationships between the objects. The agent suggested creating a lookup field to link the objects and offered to discuss further over a call.","Inability to join three custom objects in a report due to lack of relationships.","The agent suggested creating a lookup field to establish the necessary relationships.","NetLine Corporation","470784734"
"Hello! I believe our unlimited licenses come with Knowledge. Can you please help enable that function in our instance?","Hello! I believe our unlimited licenses come with Knowledge. Can you please help enable that function in our instance?","The end user expressed interest in implementing Knowledge in their organization but was unable to find the option. The agent suggested a screen-sharing session and provided instructions on setting up Knowledge. The conversation ended due to a lack of response from the end user.","End user unable to find the option to implement Knowledge.","Agent provided setup instructions and suggested a screen-sharing session.","POPIC","470797049"
"Need assistance with Updating the Record Creation Page. Would love to screenshare","Need assistance with Updating the Record Creation Page. Would love to screenshare","The agent greeted the end user and inquired about their readiness for a screenshare session. The end user confirmed their readiness.","Coordination for a screenshare session","The end user confirmed they were ready for the session.

caching issue. changing the display density, resolved it","Optimus TechServices, LLC","470797208"
"Contact Name issue in Lightning","Contact Name issue in Lightning","The end user reported an issue with changing the 'Contact Name' in Salesforce Lightning, which works fine in Salesforce Classic. The chatbot provided detailed information on known issues and considerations related to Contact Names in Lightning Experience. The end user requested to speak with a human agent for further assistance. The agent suggested a screen-sharing session to troubleshoot the issue, which was accepted by the end user.","Difficulty in changing 'Contact Name' in Salesforce Lightning.","The issue was addressed through a screen-sharing session with a support agent.","Index Engines Inc.","470797333"
"Deactivate organization","Deactivate organization","The end user requested to deactivate their Salesforce organization. The chatbot provided detailed steps for deactivation and offered to connect the user with a service representative. The agent recommended contacting the Account Executive for further assistance.","Deactivation of Salesforce organization","The agent advised the end user to contact their Account Executive for the next steps.","The Clariden School","470798407"
"System Administrator not able to see All Open Leads list view","System Administrator not able to see All Open Leads list view","The end user reported that the System Administrator could not see the 'All Open Leads' list view in Salesforce. The chatbot provided potential reasons and solutions, including role hierarchy and permissions issues. The end user requested to be transferred to an agent for further assistance. The agent confirmed the issue and offered help.","System Administrator unable to view 'All Open Leads' list view in Salesforce.","The agent confirmed the issue and provided assistance.

List view might have been deleted by other user. AFter deploying the the metadata of list view to prod, issue was resolved","Charter Brands Limited","470805741"
"User wants to chat with support","User wants to chat with support","The conversation primarily focused on issues related to changing a user's email address and managing Salesforce Inbox licenses. The chatbot provided detailed steps for resolving email verification issues and changing the Automated Case User. The end user also requested to speak with a support representative for further assistance.","Issues with changing a user's email address and managing Salesforce Inbox licenses.","The chatbot provided detailed instructions and connected the user to a support representative for further assistance.","Perimtec","470806759"
